148000, 30651.05, 12508.25, 11000
149000, 31167.30, 12266.75, 10000
150000, 30848.70, 11294.90, 8000
151000, 30908.40, 12239.70, 9000
152000, 31192.05, 11967.55, 8000
153000, 31700.70, 12246.95, 10000
154000, 32421.35, 12452.70, 15000
155000, 31829.75, 12366.20, 6000
156000, 32589.65, 12683.60, 8000
157000, 32866.65, 13293.75, 8000
158000, 32878.50, 12870.80, 8000
159000, 32658.15, 12384.75, 7000
160000, 33278.60, 12826.10, 7000
161000, 33792.90, 13309.90, 11000
162000, 33851.95, 13133.70, 8000
163000, 34008.75, 14355.35, 29000
164000, 34082.45, 13251.95, 11000
165000, 34434.90, 13511.25, 14000
166000, 34736.05, 14350.80, 9000
167000, 34784.70, 14765.95, 11000
168000, 34884.75, 13881.20, 4000
169000, 35254.00, 13717.60, 9000
170000, 35466.15, 13375.40, 12000
171000, 35502.85, 13985.55, 8000
172000, 35636.55, 13688.95, 13000
173000, 36460.65, 14250.35, 8000
174000, 36718.00, 13484.10, 10000
175000, 36636.60, 13475.75, 9000
176000, 36635.45, 13828.95, 9000
177000, 36955.85, 13734.25, 10000
178000, 37353.40, 13995.65, 11000
179000, 37161.40, 13627.60, 11000
180000, 37773.85, 14317.20, 10000
181000, 37635.75, 14245.20, 10000
182000, 38279.05, 16452.75, 11000
183000, 38437.40, 14305.30, 9000
184000, 38627.25, 14448.70, 13000
185000, 38676.35, 14730.75, 10000
186000, 39037.55, 14743.50, 6000
187000, 39388.75, 15098.00, 10000
188000, 39879.05, 14862.20, 7000
189000, 39850.60, 15164.40, 9000
190000, 39989.20, 15206.85, 14000
191000, 40258.70, 16897.55, 12000
192000, 40507.50, 15591.75, 10000
193000, 40531.20, 15054.65, 11000
194000, 40751.35, 15482.25, 12000
195000, 41236.75, 15058.70, 8000
196000, 41380.65, 16308.35, 9000
197000, 41271.10, 14595.35, 8000
198000, 41723.30, 15991.85, 11000
199000, 41796.10, 15702.95, 13000
200000, 42530.95, 15868.55, 10000
201000, 42506.00, 16005.45, 10000
